clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB9414	0.0	0.27146	0.0	0.0	0.0	0.0	0.0	0.0	0.02681	0.0	0.0	0.0	0.0	0.01745	0.01179	0.0	0.0	0.0	0.22008	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76352;o__OFGB76352;f__FGB76352;g__GGB4593	0.0	0.22023	0.0	0.0	0.47862	0.55542	0.07944	0.01898	0.0	0.0	0.0	0.0	0.03096	0.0	0.0	0.6867	0.0	0.94612	0.40772	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	0.0	0.17707	0.0686	0.0	0.0	0.0	0.0	0.0	0.0	0.15857	0.00373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32261	0.0	1.2378	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB28775;o__OFGB28775;f__FGB28775;g__GGB3511	0.0	0.16497	0.0	0.07672	0.13199	0.0	0.01926	0.01082	0.02743	0.05114	0.0	0.02312	0.08559	0.00697	0.07252	0.56073	0.0	0.36348	0.27578	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0.0	0.10446	0.12078	0.77181	0.0	0.13285	0.18246	0.0	1.1187	0.09268	0.0	0.0	0.0	0.0	0.0	0.0	0.31633	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB57353	0.0	0.06705	0.0	0.13557	1.38171	0.1556	0.20554	0.2971	0.09451	0.01021	0.0	0.11843	0.53894	0.215	0.46163	0.0	0.0	0.0	0.21705	0.0	0.04561	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Tyzzerella	0.0	0.03478	9.55346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49462	0.0	0.08262	2.15284	6.33368	0.0	0.0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus	0.0	0.03091	0.0	0.04917	0.0059	0.01205	0.0	0.0044	0.0636	0.0	0.0	0.00363	0.0	0.0	0.23386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07036
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9400	0.0	0.01295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24653	0.0	0.0	0.0	0.0	0.03629	0.0	0.0	0.0	0.27928	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__GGB4379	0.0	0.01153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.00177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00598	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0	8.2636	0.11432	0.08621	0.0	0.04607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.70336	0.0	12.49053	0.76732	0.0	0.0	0.0	0.9496
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	0.0	0.0	3.45832	0.0	0.0	0.0	0.0032	0.0	0.0	0.0	0.0	0.0	0.41264	0.0	0.0	0.00242	0.0	0.08176	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Sarcina	0.0	0.0	2.10893	0.0	0.0	0.0	0.0	0.0	0.0	0.06212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.80711	6.68654	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.0	0.0	1.59899	0.0	0.0	0.0	0.62122	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Anaerobiospirillum	0.0	0.0	0.33173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	0.0	0.0	0.17423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB76748;o__OFGB76748;f__FGB76748;g__GGB12469	0.0	0.0	0.03959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22665	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79916	0.0	0.0	0.03207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc	0.0	0.0	0.03131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16274	0.0	0.0	0.0
